iter	Passed	Remaining
398	136930	206253
399	137228	205842
400	137579	205512
401	137912	205153
402	138319	204904
403	138653	204548
404	138955	204145
405	139237	203711
406	139595	203390
407	139915	203015
408	140230	202630
409	140512	202201
410	140824	201814
411	141087	201357
412	141415	200994
413	141742	200630
414	142200	200451
415	142664	200278
416	143018	199951
417	143319	199550
418	143618	199146
419	143904	198724
420	144188	198301
421	144543	197976
422	144884	197632
423	145193	197243
424	145545	196914
425	145896	196583
426	146222	196218
427	146561	195871
428	146865	195478
429	147170	195086
430	147602	194862
431	147962	194542
432	148285	194174
433	148563	193748
434	148914	193418
435	149319	193155
436	149675	192831
437	149997	192462
438	150247	192001
439	150570	191634
440	150914	191295
441	151248	190942
442	151623	190641
443	151972	190307
444	152295	189942
445	152633	189594
446	153076	189376
447	153439	189059
448	153809	188751
449	154066	188303
450	154393	187941
451	155018	187942
452	155335	187568
453	155665	187210
454	156058	186926
455	156458	186651
456	156795	186302
457	157165	185990
458	157630	185791
459	158004	185483
460	158301	185085
461	158697	184803
462	159006	184420
463	159293	184011
464	159577	183599
465	159980	183325
466	160251	182899
467	160583	182543
468	160952	182230
469	161277	181866
470	161680	181590
471	162020	181243
472	162375	180913
473	162722	180574
474	163151	180325
475	163480	179966
476	163786	179581
477	164105	179211
478	164420	178837
479	164814	178548
480	165223	178276
481	165518	177881
482	165824	177497
483	166198	177187
484	166696	177007
485	166999	176620
486	167350	176284
487	167750	176000
488	168156	175721
489	168495	175372
490	168901	175093
491	169193	174695
492	169571	174387
493	169873	173999
494	170242	173682
495	170683	173436
496	171059	173124
497	171389	172766
498	171813	172502
499	172228	172228
500	172532	171843
501	172869	171492
502	173205	171139
503	173573	170818
504	173923	170478
505	174221	170089
506	174553	169733
507	174889	169381
508	175263	169065
509	175589	168703
510	175891	168318
511	176159	167902
512	176440	167498
513	176793	167162
514	177110	166793
515	177393	166392
516	177727	166039
517	178138	165758
518	178488	165420
519	178866	165107
520	179202	164756
521	179560	164425
522	179931	164105
523	180281	163766
524	180560	163364
525	180998	163105
526	181298	162721
527	181627	162364
528	181985	162032
529	182360	161715
530	182833	161486
531	183369	161309
532	183654	160912
533	183968	160541
534	184278	160167
535	184660	159855
536	185006	159512
537	185343	159160
538	185645	158780
539	186066	158500
540	186356	158109
541	186742	157800
542	187014	157395
543	187263	156970
544	187633	156648
545	187979	156305
546	188390	156016
547	188877	155789
548	189192	155420
549	189562	155096
550	189834	154692
551	190237	154395
552	190550	154025
553	190945	153721
554	191398	153463
555	191733	153110
556	192106	152788
557	192600	152562
558	192897	152178
559	193281	151864
560	193603	151500
561	193910	151126
562	194254	150780
563	194686	150502
564	195066	150183
565	195494	149902
566	195841	149558
567	196170	149200
568	196548	148879
569	197065	148663
570	197469	148361
571	197836	148031
572	198202	147700
573	198528	147340
574	198936	147040
575	199286	146696
576	199564	146301
577	199915	145959
578	200243	145599
579	200585	145251
580	200869	144861
581	201220	144519
582	201699	144268
583	201995	143887
584	202341	143541
585	202620	143148
586	202914	142766
587	203236	142403
588	203628	142090
589	203927	141712
590	204245	141347
591	204513	140948
592	204909	140637
593	205307	140327
594	205556	139916
595	205862	139544
596	206408	139334
597	206723	138967
598	207061	138617
599	207381	138254
600	207683	137879
601	208059	137554
602	208552	137305
603	208936	136984
604	209217	136596
605	209526	136226
606	209844	135863
607	210249	135555
608	210631	135232
609	210962	134877
610	211356	134562
611	211674	134198
612	211964	133817
613	212345	133494
614	212645	133119
615	212969	132760
616	213309	132410
617	213697	132091
618	214170	131823
619	214465	131446
620	214800	131093
621	215156	130754
622	215476	130392
623	215813	130041
624	216215	129729
625	216609	129412
626	216913	129040
627	217168	128641
628	217492	128282
629	217859	127949
630	218234	127620
631	218559	127262
632	218979	126959
633	219301	126600
634	219616	126236
635	220010	125918
636	220374	125582
637	220678	125212
638	220988	124846
639	221249	124453
640	221546	124079
641	221810	123688
642	222102	123313
643	222494	122993
644	222779	122615
645	223195	122308
646	223647	122021
647	224039	121700
648	224396	121360
649	224789	121040
650	225098	120674
651	225408	120310
652	225717	119944
653	226033	119583
654	226413	119256
655	226720	118890
656	227016	118518
657	227415	118200
658	227749	117848
659	228050	117480
660	228339	117106
661	228756	116796
662	229070	116435
663	229466	116115
664	229868	115798
665	230234	115463
666	230569	115111
667	230944	114780
668	231278	114429
669	231639	114090
670	232169	113835
671	232411	113438
672	232815	113121
673	233140	112765
674	233427	112390
675	233742	112030
676	234160	111719
677	234535	111387
678	234953	111075
679	235236	110699
680	235594	110359
681	235922	110004
682	236255	109652
683	236710	109357
684	237068	109016
685	237383	108656
686	237695	108295
687	237986	107924
688	238321	107573
689	238674	107230
690	239073	106908
691	239418	106562
692	239732	106202
693	240156	105890
694	240514	105549
695	240915	105227
696	241196	104852
697	241555	104512
698	241925	104176
699	242366	103871
700	242692	103516
701	243014	103160
702	243256	102769
703	243555	102403
704	243845	102034
705	244267	101720
706	244526	101338
707	244806	100965
708	245196	100637
709	245499	100274
710	245884	99944
711	246176	99576
712	246469	99210
713	246776	98848
714	247148	98513
715	247437	98145
716	247829	97818
717	248191	97479
718	248552	97139
719	248900	96794
720	249218	96438
721	249544	96084
722	249917	95749
723	250421	95464
724	250713	95098
725	251210	94809
726	251564	94466
727	251890	94113
728	252234	93766
729	252598	93426
730	253056	93121
731	253438	92788
732	253860	92470
733	254292	92155
734	254796	91865
735	255437	91624
736	256006	91356
737	256685	91126
738	257263	90860
739	257757	90563
740	258137	90226
741	258495	89881
742	258852	89535
743	259161	89173
744	259623	88864
745	260018	88531
746	260439	88207
747	260778	87855
748	260973	87455
749	261269	87089
750	261608	86738
751	261909	86374
752	262221	86014
753	262551	85659
754	262939	85324
755	263267	84969
756	263709	84651
757	264106	84319
758	264478	83978
759	264924	83660
760	265283	83315
761	265698	82987
762	266075	82647
763	266432	82301
764	266818	81964
765	267138	81606
766	267578	81285
767	267918	80933
768	268174	80556
769	268583	80226
770	268972	79889
771	269277	79527
772	269628	79179
773	270049	78851
774	270461	78521
775	270742	78152
776	271061	77794
777	271404	77444
778	271725	77087
779	272141	76757
780	272807	76497
781	273255	76175
782	273758	75869
783	274357	75588
784	274707	75238
785	275079	74894
786	275403	74537
787	275848	74213
788	276240	73874
789	276642	73537
790	276970	73181
791	277377	72846
792	277704	72490
793	278112	72155
794	278622	71845
795	278926	71483
796	279296	71138
797	279620	70781
798	279978	70432
799	280331	70082
800	280651	69724
801	281000	69374
802	281332	69019
803	281669	68665
804	282070	68327
805	282390	67969
806	282757	67623
807	283120	67276
808	283461	66923
809	283794	66568
810	284109	66210
811	284409	65848
812	284850	65519
813	285250	65180
814	285639	64838
815	285967	64482
816	286335	64136
817	286687	63786
818	286914	63408
819	287194	63042
820	287505	62683
821	287848	62332
822	288212	61985
823	288502	61621
824	288869	61275
825	289301	60942
826	289634	60588
827	290025	60246
828	290338	59888
829	290771	59555
830	291091	59199
831	291448	58850
832	291757	58491
833	292070	58133
834	292422	57784
835	292764	57432
836	293093	57078
837	293369	56713
838	293656	56351
839	294001	56000
840	294326	55645
841	294616	55284
842	294970	54935
843	295329	54587
844	295596	54221
845	295963	53875
846	296349	53531
847	296715	53184
848	297076	52836
849	297398	52482
850	297809	52142
851	298317	51820
852	298706	51476
853	299018	51120
854	299330	50763
855	299665	50411
856	300031	50063
857	300348	49708
858	300631	49346
859	300944	48990
860	301280	48638
861	301616	48286
862	301926	47930
863	302223	47572
864	302529	47215
865	302820	46856
866	303312	46528
867	303657	46178
868	304167	45852
869	304782	45542
870	305315	45218
871	305747	44880
872	306157	44538
873	306757	44223
874	307342	43906
875	307858	43578
876	308267	43234
877	308604	42881
878	308904	42522
879	309284	42175
880	309768	41841
881	310103	41487
882	310383	41126
883	310730	40774
884	311082	40423
885	311428	40070
886	311806	39722
887	312125	39367
888	312457	39013
889	312856	38667
890	313179	38312
891	313535	37961
892	313846	37605
893	314115	37244
894	314591	36907
895	314981	36560
896	315257	36200
897	315555	35842
898	315997	35501
899	316326	35147
900	316586	34785
901	316902	34430
902	317306	34084
903	317725	33740
904	318187	33400
905	318467	33041
906	318801	32688
907	319147	32336
908	319503	31985
909	319789	31627
910	320121	31274
911	320478	30923
912	320814	30570
913	321165	30219
914	321489	29865
915	321808	29510
916	322209	29164
917	322565	28813
918	322950	28464
919	323227	28106
920	323586	27756
921	323923	27403
922	324170	27043
923	324454	26686
924	324789	26334
925	325166	25985
926	325498	25632
927	325808	25278
928	326227	24932
929	326566	24580
930	326898	24227
931	327162	23870
932	327509	23518
933	327885	23169
934	328218	22817
935	328581	22467
936	328907	22114
937	329278	21764
938	329669	21416
939	329993	21063
940	330356	20713
941	330655	20358
942	330922	20002
943	331204	19647
944	331562	19297
945	331801	18940
946	332127	18587
947	332338	18229
948	332713	17880
949	333029	17527
950	333287	17172
951	333588	16819
952	333997	16472
953	334341	16121
954	334646	15768
955	335006	15418
956	335354	15068
957	335626	14714
958	335970	14363
959	336313	14013
960	336661	13662
961	337034	13313
962	337324	12960
963	337735	12612
964	338021	12259
965	338427	11911
966	338819	11562
967	339145	11211
968	339450	10859
969	339775	10508
970	340102	10157
971	340521	9809
972	340814	9457
973	341289	9110
974	341550	8757
975	341892	8407
976	342179	8055
977	342483	7704
978	342911	7355
979	343293	7005
980	343651	6655
981	344076	6306
982	344680	5960
983	345256	5613
984	345824	5266
985	346202	4915
986	346672	4566
987	347104	4215
988	347443	3864
989	347967	3514
990	348291	3163
991	348635	2811
992	348949	2459
993	349291	2108
994	349589	1756
995	349892	1405
996	350302	1054
997	350701	702
998	351131	351
999	351489	0
