iter	Logloss
0	0.5909132599
1	0.5158355959
2	0.458327835
3	0.4162739423
4	0.3816498887
5	0.3463264268
6	0.3249174907
7	0.3080032287
8	0.2944397333
9	0.2833560263
10	0.2751957112
11	0.2682970335
12	0.2595414092
13	0.2540694238
14	0.2494124942
15	0.2437665788
16	0.2404097989
17	0.2364744858
18	0.2327997798
19	0.230336739
20	0.2279435051
21	0.2255007805
22	0.223217246
23	0.2203032556
24	0.2182555976
25	0.2160599134
26	0.2144026933
27	0.212857
28	0.2116395699
29	0.2104578701
30	0.2094138664
31	0.2078989249
32	0.206620174
33	0.2051793906
34	0.2033708209
35	0.2018351015
36	0.2007492601
37	0.1996925141
38	0.1982382806
39	0.1969129967
40	0.1951760974
41	0.1945584155
42	0.193816408
43	0.1932190409
44	0.1913838889
45	0.1905988351
46	0.1897670061
47	0.188995174
48	0.1881153361
49	0.1874698582
50	0.1867798039
51	0.1863627751
52	0.1854324647
53	0.1848175874
54	0.1840762246
55	0.1834844571
56	0.1825492572
57	0.1821052701
58	0.1808580691
59	0.1803888985
60	0.1798444935
61	0.1791001561
62	0.1780584363
63	0.177362934
64	0.1766749584
65	0.1762165605
66	0.1758453479
67	0.1751033769
68	0.1747685505
69	0.1742863764
70	0.1739659466
71	0.1736155824
72	0.1730447444
73	0.1727748361
74	0.1724317339
75	0.1720579321
76	0.171691087
77	0.1713123236
78	0.1709590684
79	0.1703418222
80	0.1700341632
81	0.1697325254
82	0.1693698714
83	0.1689737152
84	0.1685333916
85	0.1682941332
86	0.1678446747
87	0.1674305464
88	0.1671490067
89	0.1669612998
90	0.1666378125
91	0.1664117792
92	0.1661325295
93	0.1659063676
94	0.1654681214
95	0.165190593
96	0.1648477615
97	0.1645846079
98	0.1643606788
99	0.1641857989
100	0.1639366998
101	0.163743671
102	0.1635007019
103	0.1632098779
104	0.1630356575
105	0.1628463902
106	0.162707346
107	0.1624154319
108	0.1621868683
109	0.1618993265
110	0.1617284209
111	0.161495238
112	0.1613570938
113	0.1611523748
114	0.160980995
115	0.1607010735
116	0.1604275797
117	0.1602142312
118	0.1600180295
119	0.1598939303
120	0.1596409057
121	0.1592528028
122	0.1590500069
123	0.1587466891
124	0.1586241255
125	0.1583270625
126	0.1581590664
127	0.1579249751
128	0.1577166327
129	0.1575443835
130	0.157371457
131	0.1571920474
132	0.1570125974
133	0.1567414625
134	0.1566239976
135	0.1564829344
136	0.1563113952
137	0.1561445318
138	0.156020955
139	0.1558678566
140	0.1557447663
141	0.155617086
142	0.1555303357
143	0.155354415
144	0.155219275
145	0.1550666603
146	0.1549483943
147	0.1545532465
148	0.1544322873
149	0.1543048745
150	0.1542179055
151	0.1541310305
152	0.1539457384
153	0.1538429038
154	0.1537304337
155	0.1535835908
156	0.1534878577
157	0.1533085652
158	0.1532166318
159	0.1530494501
160	0.1529702681
161	0.1528091277
162	0.1526235957
163	0.1525216909
164	0.1523538376
165	0.1522158252
166	0.152125702
167	0.1520038159
168	0.151927584
169	0.1518192762
170	0.1517597732
171	0.1516460324
172	0.151562595
173	0.1514467572
174	0.1513744514
175	0.1511854222
176	0.1510691843
177	0.1509742083
178	0.150888755
179	0.1507755282
180	0.1506650399
181	0.1505866482
182	0.1504861317
183	0.1504172692
184	0.1502945093
185	0.150198686
186	0.1501317913
187	0.1500522072
188	0.1499405133
189	0.1498750184
190	0.1498197568
191	0.149735006
192	0.1496294447
193	0.1494665209
194	0.1493896366
195	0.1492055614
196	0.1491340446
197	0.1489923084
198	0.148940677
199	0.1488866001
200	0.1487557849
201	0.1486712995
202	0.1485857811
203	0.1484864145
204	0.1484363315
205	0.1483910302
206	0.1483130011
207	0.1482337242
208	0.1481689007
209	0.1480603586
210	0.1480031656
211	0.1479129086
212	0.1478370789
213	0.1477299045
214	0.1476430873
215	0.1475062158
216	0.1474709007
217	0.147342372
218	0.1472648573
219	0.1472066279
220	0.1471266755
221	0.1470418494
222	0.1469477576
223	0.1468737165
224	0.1467667215
225	0.1465830621
226	0.1465390882
227	0.1463999032
228	0.1463415696
229	0.1462786299
230	0.1461379475
231	0.1460598195
232	0.1459067098
233	0.1458462693
234	0.1457623016
235	0.1456503396
236	0.1455597759
237	0.1455221454
238	0.1454505434
239	0.1453794838
240	0.1453341584
241	0.145292965
242	0.1452475023
243	0.145195138
244	0.145121212
245	0.1450578468
246	0.1450070326
247	0.1449416905
248	0.144763635
249	0.1447089007
250	0.1445970688
251	0.1445695799
252	0.144500163
253	0.1444381173
254	0.1443802799
255	0.1443454537
256	0.1442207437
257	0.1441360833
258	0.1440457268
259	0.1439997042
260	0.1439206377
261	0.1438595252
262	0.143810966
263	0.143717673
264	0.1436529756
265	0.1436031581
266	0.1435420042
267	0.1435009403
268	0.1434400863
269	0.1433957534
270	0.1433588314
271	0.1432799667
272	0.1432251958
273	0.1431686642
274	0.1430813645
275	0.1430464753
276	0.1430107117
277	0.1429466772
278	0.1428856551
279	0.1428339937
280	0.1427995386
281	0.1427447317
282	0.1426108863
283	0.1425754385
284	0.1425506059
285	0.1424944633
286	0.1424184767
287	0.1423944588
288	0.1423242185
289	0.1422817504
290	0.1422086372
